,k,p,q,run_id,param,param_out,param_pos,input,output,diff
635,2,4,2,0,theta,theta_out,1,-0.25320456674608477,-0.3000102460733229,0.046805679327238114
632,2,4,2,1,theta,theta_out,0,0.26608829496018604,0.23222442132245458,0.03386387363773147
633,2,4,2,1,theta,theta_out,1,-0.5301718575215285,-0.5351847864954941,0.005012928973965547
630,2,4,2,2,theta,theta_out,0,-0.34387852917669237,-0.3683802579379687,0.02450172876127632
631,2,4,2,2,theta,theta_out,1,-0.5215023800925415,-0.511503868875839,-0.009998511216702477
628,2,4,2,3,theta,theta_out,0,-0.3035670523587141,-0.236766736230603,-0.06680031612811113
629,2,4,2,3,theta,theta_out,1,-0.34315225424277546,-0.38607609385501146,0.042923839612236
625,2,4,3,0,theta,theta_out,0,-0.2305409793214482,1.2301623913895463,-1.4607033707109944
626,2,4,3,0,theta,theta_out,1,-0.4657010494771798,-0.18595313371283467,-0.2797479157643451
627,2,4,3,0,theta,theta_out,2,0.26163428266619115,-0.41612721826891413,0.6777615009351052
622,2,4,3,1,theta,theta_out,0,-0.41333626551408437,-0.3946522939666915,-0.018683971547392875
623,2,4,3,1,theta,theta_out,1,0.6903077159380819,0.6945184790845195,-0.004210763146437535
624,2,4,3,1,theta,theta_out,2,-0.40886544188263857,-0.39841056854816614,-0.010454873334472425
619,2,4,3,2,theta,theta_out,0,0.30882030282110484,0.27067162217305346,0.03814868064805138
620,2,4,3,2,theta,theta_out,1,0.7268384421575683,0.7281665616052752,-0.0013281194477068325
621,2,4,3,2,theta,theta_out,2,0.10372222433526698,0.07537904851901253,0.02834317581625445
616,2,4,3,3,theta,theta_out,0,-0.21191524466683676,0.013151563110877444,-0.2250668077777142
617,2,4,3,3,theta,theta_out,1,0.4005008514019526,0.22483279825528107,0.1756680531466715
618,2,4,3,3,theta,theta_out,2,0.4242704117856317,0.6112934295719694,-0.18702301778633773
612,2,4,4,0,theta,theta_out,0,0.3865212983281452,0.34761856505770056,0.038902733270444634
613,2,4,4,0,theta,theta_out,1,0.1606795571269194,0.1338687663277331,0.0268107907991863
614,2,4,4,0,theta,theta_out,2,0.10015138762366044,0.1024102587421423,-0.002258871118481859
615,2,4,4,0,theta,theta_out,3,0.2444103631014991,0.25677843921048193,-0.012368076108982828
608,2,4,4,1,theta,theta_out,0,0.33545947866422804,0.05740164179668267,0.27805783686754537
609,2,4,4,1,theta,theta_out,1,0.17684521193717728,-0.12478678841784005,0.30163200035501736
610,2,4,4,1,theta,theta_out,2,0.09806815974562352,-0.1848493995739615,0.282917559319585
611,2,4,4,1,theta,theta_out,3,-0.3957102740166229,-0.598864789609981,0.20315451559335812
